"SKU","UPC","DESCRIPTION","STYLE","COLOR","SIZE","WHOLESALE_PRICE","DISCONTINUED","CLEARANCE","QTY_AVAILABLE","REPLENISH_DATE"
"44091-LSALE","840295145815","LACE BABYDOLL & G-STRING","44091","RED","L","6.97","Yes","No","0",""
"44091-MSALE","840295145808","LACE BABYDOLL & G-STRING","44091","RED","M","6.97","Yes","No","0","08/09/22"
"44091-SSALE","840295145792","LACE BABYDOLL & G-STRING","44091","RED","S","6.97","Yes","No","28","08/09/22"
"44093X-1X","840295141558","BABYDOLL & PANTY","44093X","RED","1X","13.95","Yes","No","48","08/05/21"
"44093X-2X","840295141565","BABYDOLL & PANTY","44093X","RED","2X","13.95","Yes","No","85",""
"44093X-3X","840295141572","BABYDOLL & PANTY","44093X","RED","3X","13.95","Yes","No","238",""
"44093-L","840295141541","BABYDOLL & PANTY","44093","RED","L","12.95","Yes","No","81",""
"44093-M","840295141534","BABYDOLL & PANTY","44093","RED","M","12.95","Yes","No","55","08/05/21"
"44093-S","840295141527","BABYDOLL & PANTY","44093","RED","S","12.95","Yes","No","74",""
"44094X-1X","840295138855","BABYDOLL AND PANTY","44094X","BRIGHT AQUA","1X","14.95","Yes","No","39","09/09/21"
"44094X-2X","840295138862","BABYDOLL AND PANTY","44094X","BRIGHT AQUA","2X","14.95","Yes","No","48","09/09/21"
"44094X-3X","840295138879","BABYDOLL AND PANTY","44094X","BRIGHT AQUA","3X","14.95","Yes","No","158",""
"44094-L","840295138848","BABYDOLL AND PANTY","44094","BRIGHT AQUA","L","13.95","Yes","No","57",""
"44094-M","840295138831","BABYDOLL AND PANTY","44094","BRIGHT AQUA","M","13.95","Yes","No","57","09/09/21"
"44094-S","840295138824","BABYDOLL AND PANTY","44094","BRIGHT AQUA","S","13.95","Yes","No","76","09/09/21"
"44100-L","840295138268","WHT. BABYDOLL AND G-STRING","44100","WHITE","L","12.95","No","No","0",""
"44100-M","840295138251","WHT. BABYDOLL AND G-STRING","44100","WHITE","M","12.95","No","No","0",""
"44100-S","840295138244","WHT. BABYDOLL AND G-STRING","44100","WHITE","S","12.95","No","No","0","09/09/21"
"44100-XL","840295138954","WHT. BABYDOLL AND G-STRING","44100","WHITE","XL","12.95","No","No","120",""
"44101-L","840295138947","BABYDOLL AND G-STRING","44101","MIDNIGHT BLUE","L","13.95","No","No","25","01/20/21"
"44101-M","840295138930","BABYDOLL AND G-STRING","44101","MIDNIGHT BLUE","M","13.95","No","No","22","01/20/21"
"44101-S","840295138923","BABYDOLL AND G-STRING","44101","MIDNIGHT BLUE","S","13.95","No","No","41","05/25/21"
"44101-XL","840295138954","BABYDOLL AND G-STRING","44101","MIDNIGHT BLUE","XL","13.95","No","No","21",""
"44102X-1X","840295139050","BLUE BABYDOLL AND G-STRING","44102X","BABY BLUE","1X","14.95","No","No","93","09/15/21"
"44102X-2X","840295139067","BLUE BABYDOLL AND G-STRING","44102X","BABY BLUE","2X","14.95","No","No","98",""
"44102X-3X","840295139074","BLUE BABYDOLL AND G-STRING","44102X","BABY BLUE","3X","14.95","No","No","157","05/25/21"
"44102-L","840295139043","BLUE BABYDOLL AND G-STRING","44102","BABY BLUE","L","13.95","No","No","86",""
"44102-M","840295139036","BLUE BABYDOLL AND G-STRING","44102","BABY BLUE","M","13.95","No","No","99","01/20/21"
"44102-S","840295139029","BLUE BABYDOLL AND G-STRING","44102","BABY BLUE","S","13.95","No","No","97","01/20/21"
"44103-L","840295142029","BABYDOLL & PANTY","44103","MIDNIGHT BLUE","L","14.95","No","No","128",""
"44103-M","840295142012","BABYDOLL & PANTY","44103","MIDNIGHT BLUE","M","14.95","No","No","131","02/20/22"
"44103-S","840295142005","BABYDOLL & PANTY","44103","MIDNIGHT BLUE","S","14.95","No","No","182","08/05/21"
"44103-XL","840295142036","BABYDOLL & PANTY","44103","MIDNIGHT BLUE","XL","14.95","No","No","137","08/05/21"
"44104X-1X","840295139159","DEMI CUP BABYDOLL & G-STRING","44104X","JADE","1X","13.95","Yes","No","16","09/09/21"
"44104X-2X","840295139166","DEMI CUP BABYDOLL & G-STRING","44104X","JADE","2X","13.95","Yes","No","79",""
"44104X-3X","840295139173","DEMI CUP BABYDOLL & G-STRING","44104X","JADE","3X","13.95","Yes","No","68",""
"44104-S","840295139128","DEMI CUP BABYDOLL & G-STRING","44104","JADE","S","12.95","Yes","No","39","09/09/21"
"44105X-1X","840295141770","BABYDOLL & G-STRING","44105X","BLACK","1X","14.95","No","No","16","08/05/21"
"44105X-2X","840295141787","BABYDOLL & G-STRING","44105X","BLACK","2X","14.95","No","No","90",""
"44105X-3X","840295141794","BABYDOLL & G-STRING","44105X","BLACK","3X","14.95","No","No","266",""
"44106X-1X","840295139708","BUSTIER AND G-STRING","44106X","BLACK","1X","16.95","No","No","199",""
"44106X-2X","840295139715","BUSTIER AND G-STRING","44106X","BLACK","2X","16.95","No","No","235","01/05/21"
"44106X-3X","840295139722","BUSTIER AND G-STRING","44106X","BLACK","3X","16.95","No","No","226","01/05/21"
"44106-L","840295139692","BUSTIER AND G-STRING","44106","BLACK","L","15.95","No","No","213",""
"44106-M","840295139685","BUSTIER AND G-STRING","44106","BLACK","M","15.95","No","No","197",""
"44106-S","840295139678","BUSTIER AND G-STRING","44106","BLACK","S","15.95","No","No","220",""
"44107X-1X","840295138558","DEMI CUP BUSTIER AND G-STRING","44107X","BLACK","1X","13.95","No","No","145",""
"44107X-2X","840295138565","DEMI CUP BUSTIER AND G-STRING","44107X","BLACK","2X","13.95","No","No","159",""
"44107X-3X","840295138572","DEMI CUP BUSTIER AND G-STRING","44107X","BLACK","3X","13.95","No","No","169",""
"44107-L","840295138541","DEMI CUP BUSTIER AND G-STRING","44107","BLACK","L","12.95","No","No","95",""
"44107-M","840295138534","DEMI CUP BUSTIER AND G-STRING","44107","BLACK","M","12.95","No","No","96","01/20/21"
"44107-S","840295138527","DEMI CUP BUSTIER AND G-STRING","44107","BLACK","S","12.95","No","No","109",""
"44111X-1X","840295143743","BABYDOLL & G-STRING","44111X","BLACK/JADE","1X","14.95","Yes","No","35",""
"44111X-2X","840295143750","BABYDOLL & G-STRING","44111X","BLACK/JADE","2X","14.95","Yes","No","19",""
"44111X-3X","840295143767","BABYDOLL & G-STRING","44111X","BLACK/JADE","3X","14.95","Yes","No","44",""
"44111-L","840295143736","BABYDOLL & G-STRING","44111","BLACK/JADE","L","13.95","Yes","No","33",""
"44111-M","840295143729","BABYDOLL & G-STRING","44111","BLACK/JADE","M","13.95","Yes","No","18","01/15/22"
"44111-S","840295143712","BABYDOLL & G-STRING","44111","BLACK/JADE","S","13.95","Yes","No","48",""
"44113X-1XSALE","840295144085","BABYDOLL & G-STRING","44113X","TIE DYE","1X","7.47","Yes","No","7","01/15/22"
"44113X-2XSALE","840295144092","BABYDOLL & G-STRING","44113X","TIE DYE","2X","7.47","Yes","No","0",""
"44113X-3XSALE","840295144108","BABYDOLL & G-STRING","44113X","TIE DYE","3X","7.47","Yes","No","19",""
"44114X-1XSALE","840295141350","BABYDOLL & PANTY","44114X","DARK PURPLE","1X","7.47","Yes","No","0",""
"44114X-2XSALE","840295141367","BABYDOLL & PANTY","44114X","DARK PURPLE","2X","7.47","Yes","No","0",""
"44114X-3XSALE","840295141374","BABYDOLL & PANTY","44114X","DARK PURPLE","3X","7.47","Yes","No","14",""
"44118X-1X","840295144306","BABYDOLL & G-STRING","44118X","BLACK","1X","14.95","Yes","No","77",""
"44118X-2X","840295144313","BABYDOLL & G-STRING","44118X","BLACK","2X","14.95","Yes","No","78",""
"44118X-3X","840295144320","BABYDOLL & G-STRING","44118X","BLACK","3X","14.95","Yes","No","42",""
"44118-L","840295144290","BABYDOLL & G-STRING","44118","BLACK","L","13.95","Yes","No","112",""
"44118-M","840295144283","BABYDOLL & G-STRING","44118","BLACK","M","13.95","Yes","No","84","01/15/22"
"44118-S","840295144276","BABYDOLL & G-STRING","44118","BLACK","S","13.95","Yes","No","108",""
"44120-LSALE","840295143835","BABYDOLL & G-STRING","44120","LILAC","L","6.97","Yes","No","172",""
"44120-MSALE","840295143828","BABYDOLL & G-STRING","44120","LILAC","M","6.97","Yes","No","169","01/15/22"
"44120-SSALE","840295143811","BABYDOLL & G-STRING","44120","LILAC","S","6.97","Yes","No","175","01/15/22"
"44120-XLSALE","840295143842","BABYDOLL & G-STRING","44120","LILAC","XL","6.97","Yes","No","187",""
"44128-L","840295149134","BABYDOLL & G-STRING","44128","BLACK","L","13.95","No","No","166",""
"44128-M","840295149127","BABYDOLL & G-STRING","44128","BLACK","M","13.95","No","No","162","08/15/23"
"44128-S","840295149110","BABYDOLL & G-STRING","44128","BLACK","S","13.95","No","No","174","08/15/23"
"44128-XL","840295149141","BABYDOLL & G-STRING","44128","BLACK","XL","13.95","No","No","159",""
"44129X-1X","840295143248","MESH & EMBROIDERED BABYDOLL","44129X","WHITE","1X","15.95","No","No","189","01/15/22"
