"title","description","link","image_link","additional_image_link","availability_date","price","sale_price","brand","color","size","custom_label_0","custom_label_1","shipping_weight","shipping_length","shipping_width","shipping_height","product_availability","Quantity","UPC","SKU","Product Category"
"1989 Chanity Swimsuit Pink","2 Piece. Two-way Strap top with high waisted bottoms. Hand wash cold separately/ Do not twist or wring/ Line dry. 82% nylon 18% spandex lining:95% polyester 5% spandex. Polybag packaging.","https://bewicked.com/1986-chanity-swimsuit-pink/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16668_source_1596787829.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7388/images/15453/1986_pink_back_web-546463__06277.1596329113.1280.1280.jpg?c=1","","14.50 USD","14.50USD","BeWicked","Pink","L","","","0.25 lb","1.0000 in","7 in","6 in","available","381","637488504593","1986-L-PINK","Swimwear"
"1990 Chanity Swimsuit Pink","2 Piece. Two-way Strap top with high waisted bottoms. Hand wash cold separately/ Do not twist or wring/ Line dry. 82% nylon 18% spandex lining:95% polyester 5% spandex. Polybag packaging.","https://bewicked.com/1986-chanity-swimsuit-pink/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16685_source_1596787829.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7388/images/15453/1986_pink_back_web-546463__06277.1596329113.1280.1280.jpg?c=1","","14.50 USD","14.50USD","BeWicked","Pink","XL","","","0.25 lb","1.0000 in","7 in","6 in","available","297","637488504609","1986-XL-PINK","Swimwear"
"1971 Gianna 2 Piece Swimsuit White","2 Piece. Sporty style Cami crop top and a cheeky thong bottom swimsuit. Hand-wash cold / Do not bleach / Line dry / Do not iron / do not dry clean. 82% Nylon 18% Spandex. Polybag packaging.","https://bewicked.com/1975-gianna-2-piece-swimsuit-white/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16625_source_1596789288.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15719/1975_white_back2_web-556969__24873.1596329117.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15732/1975_white_side_web-628805__08464.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15754/1975_white_front2_web__19385.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15770/1975_white_front3_web__91761.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15786/1975_white_back_web__20455.1596329119.1280.1280.jpg?c=1","","12.95 USD","12.95USD","BeWicked","White","XS","","","0.25 lb","1.0000 in","7 in","6 in","available","0","637488503015","1975-XS-WHITE","WAREHOUSE SALE > Swimwear Sale"
"1972 Gianna 2 Piece Swimsuit White","2 Piece. Sporty style Cami crop top and a cheeky thong bottom swimsuit. Hand-wash cold / Do not bleach / Line dry / Do not iron / do not dry clean. 82% Nylon 18% Spandex. Polybag packaging.","https://bewicked.com/1975-gianna-2-piece-swimsuit-white/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16637_source_1596789289.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15719/1975_white_back2_web-556969__24873.1596329117.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15732/1975_white_side_web-628805__08464.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15754/1975_white_front2_web__19385.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15770/1975_white_front3_web__91761.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15786/1975_white_back_web__20455.1596329119.1280.1280.jpg?c=1","","12.95 USD","12.95USD","BeWicked","White","S","","","0.25 lb","1.0000 in","7 in","6 in","available","243","637488503022","1975-S-WHITE","WAREHOUSE SALE > Swimwear Sale"
"1973 Gianna 2 Piece Swimsuit White","2 Piece. Sporty style Cami crop top and a cheeky thong bottom swimsuit. Hand-wash cold / Do not bleach / Line dry / Do not iron / do not dry clean. 82% Nylon 18% Spandex. Polybag packaging.","https://bewicked.com/1975-gianna-2-piece-swimsuit-white/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16650_source_1596789289.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15719/1975_white_back2_web-556969__24873.1596329117.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15732/1975_white_side_web-628805__08464.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15754/1975_white_front2_web__19385.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15770/1975_white_front3_web__91761.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15786/1975_white_back_web__20455.1596329119.1280.1280.jpg?c=1","","12.95 USD","12.95USD","BeWicked","White","M","","","0.25 lb","1.0000 in","7 in","6 in","available","317","637488503039","1975-M-WHITE","WAREHOUSE SALE > Swimwear Sale"
"1974 Gianna 2 Piece Swimsuit White","2 Piece. Sporty style Cami crop top and a cheeky thong bottom swimsuit. Hand-wash cold / Do not bleach / Line dry / Do not iron / do not dry clean. 82% Nylon 18% Spandex. Polybag packaging.","https://bewicked.com/1975-gianna-2-piece-swimsuit-white/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16659_source_1596789289.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15719/1975_white_back2_web-556969__24873.1596329117.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15732/1975_white_side_web-628805__08464.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15754/1975_white_front2_web__19385.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15770/1975_white_front3_web__91761.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15786/1975_white_back_web__20455.1596329119.1280.1280.jpg?c=1","","12.95 USD","12.95USD","BeWicked","White","L","","","0.25 lb","1.0000 in","7 in","6 in","available","318","637488503046","1975-L-WHITE","WAREHOUSE SALE > Swimwear Sale"
"1976 Gianna 2 Piece Swimsuit White","2 Piece. Sporty style Cami crop top and a cheeky thong bottom swimsuit. Hand-wash cold / Do not bleach / Line dry / Do not iron / do not dry clean. 82% Nylon 18% Spandex. Polybag packaging.","https://bewicked.com/1975-gianna-2-piece-swimsuit-white/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16674_source_1596789289.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15719/1975_white_back2_web-556969__24873.1596329117.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15732/1975_white_side_web-628805__08464.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15754/1975_white_front2_web__19385.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15770/1975_white_front3_web__91761.1596329118.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7390/images/15786/1975_white_back_web__20455.1596329119.1280.1280.jpg?c=1","","12.95 USD","12.95USD","BeWicked","White","XL","","","0.25 lb","1.0000 in","7 in","6 in","available","285","637488503053","1975-XL-WHITE","WAREHOUSE SALE > Swimwear Sale"
"BW167 Hold It Together Body Shaper - Black","Silicone Stay Up Strapless Mid-Thigh Body Shaper. Black. Box packaging. Packaging dimensions (in): 10x7x1.","https://bewicked.com/bw1674bk-hold-it-together-body-shaper-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16631_source_1596789559.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7392/images/17071/BW1674BK_B_web-587387__85555.1596329141.1280.1280.jpg?c=1","","3.93 USD","3.93USD","BeWicked","Black","Small","","","0.25 lb","1.0000 in","7 in","10 in","available","344","659543158428","BW1674BK S","WAREHOUSE SALE"
"BW14BK Hold It Together Body Shaper - Black","Silicone Stay Up Strapless Mid-Thigh Body Shaper. Black. Box packaging. Packaging dimensions (in): 10x7x1.","https://bewicked.com/bw1674bk-hold-it-together-body-shaper-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16641_source_1596789559.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7392/images/17071/BW1674BK_B_web-587387__85555.1596329141.1280.1280.jpg?c=1","","3.93 USD","3.93USD","BeWicked","Black","Medium","","","0.25 lb","1.0000 in","7 in","10 in","available","344","659543158411","BW1674BK M","WAREHOUSE SALE"
"BW1K Hold It Together Body Shaper - Black","Silicone Stay Up Strapless Mid-Thigh Body Shaper. Black. Box packaging. Packaging dimensions (in): 10x7x1.","https://bewicked.com/bw1674bk-hold-it-together-body-shaper-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16654_source_1596789559.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7392/images/17071/BW1674BK_B_web-587387__85555.1596329141.1280.1280.jpg?c=1","","3.93 USD","3.93USD","BeWicked","Black","Large","","","0.25 lb","1.0000 in","7 in","10 in","available","306","659543158404","BW1674BK L","WAREHOUSE SALE"
"BW Hold It Together Body Shaper - Black","Silicone Stay Up Strapless Mid-Thigh Body Shaper. Black. Box packaging. Packaging dimensions (in): 10x7x1.","https://bewicked.com/bw1674bk-hold-it-together-body-shaper-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16670_source_1596789559.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7392/images/17071/BW1674BK_B_web-587387__85555.1596329141.1280.1280.jpg?c=1","","3.93 USD","3.93USD","BeWicked","Black","X-Large","","","0.25 lb","1.0000 in","7 in","10 in","available","439","659543158435","BW1674BK XL","WAREHOUSE SALE"
"BWXB09 Deep V Bra - Black","U shape microfiber & silicone bra. Box packaging.","https://bewicked.com/bwxb093bk-deep-v-bra-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16632_source_1596789659.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16624/BWXB093BK_box_side_web-165339__68167.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16642/BWXB093BK_side_web-202985__33529.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16659/BWXB093BK_box_front_web-397371__47929.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16676/BWXB093BK_box_back_web-976809__57384.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16691/BWXB093BK_flat_front_web-597708__58611.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16704/BWXB093BK_flat_back_web-126521__51707.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16720/BWXB093BK_displal_side_web-367427__88565.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16739/BWXB093BK_display_front_web-848061__95654.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16758/BWXB093BK_display_side2_web-954671__87160.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16772/BWXB093BK_display_back_web-925210__72402.1596329136.1280.1280.jpg?c=1","","12.00 USD","12.00USD","BeWicked","Black","A/S","","","0.25 lb","3.3700 in","5.2500 in","7 in","available","118","688977498169","BWXB093BK A","Bra Accessories"
"BWXB03BK Deep V Bra - Black","U shape microfiber & silicone bra. Box packaging.","https://bewicked.com/bwxb093bk-deep-v-bra-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16664_source_1596789659.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16624/BWXB093BK_box_side_web-165339__68167.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16642/BWXB093BK_side_web-202985__33529.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16659/BWXB093BK_box_front_web-397371__47929.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16676/BWXB093BK_box_back_web-976809__57384.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16691/BWXB093BK_flat_front_web-597708__58611.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16704/BWXB093BK_flat_back_web-126521__51707.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16720/BWXB093BK_displal_side_web-367427__88565.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16739/BWXB093BK_display_front_web-848061__95654.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16758/BWXB093BK_display_side2_web-954671__87160.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16772/BWXB093BK_display_back_web-925210__72402.1596329136.1280.1280.jpg?c=1","","12.00 USD","12.00USD","BeWicked","Black","B/M","","","0.25 lb","3.3700 in","5.2500 in","7 in","available","148","688977498213","BWXB093BK B","Bra Accessories"
"BWX93BK Deep V Bra - Black","U shape microfiber & silicone bra. Box packaging.","https://bewicked.com/bwxb093bk-deep-v-bra-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16680_source_1596789659.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16624/BWXB093BK_box_side_web-165339__68167.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16642/BWXB093BK_side_web-202985__33529.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16659/BWXB093BK_box_front_web-397371__47929.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16676/BWXB093BK_box_back_web-976809__57384.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16691/BWXB093BK_flat_front_web-597708__58611.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16704/BWXB093BK_flat_back_web-126521__51707.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16720/BWXB093BK_displal_side_web-367427__88565.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16739/BWXB093BK_display_front_web-848061__95654.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16758/BWXB093BK_display_side2_web-954671__87160.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16772/BWXB093BK_display_back_web-925210__72402.1596329136.1280.1280.jpg?c=1","","12.00 USD","12.00USD","BeWicked","Black","C/L","","","0.25 lb","3.3700 in","5.2500 in","7 in","available","145","688977498268","BWXB093BK C","Bra Accessories"
"BWXBK Deep V Bra - Black","U shape microfiber & silicone bra. Box packaging.","https://bewicked.com/bwxb093bk-deep-v-bra-black/","https://cdn11.bigcommerce.com/s-e3nbsd643i/product_images/attribute_rule_images/16692_source_1596789659.png","https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16624/BWXB093BK_box_side_web-165339__68167.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16642/BWXB093BK_side_web-202985__33529.1596329133.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16659/BWXB093BK_box_front_web-397371__47929.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16676/BWXB093BK_box_back_web-976809__57384.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16691/BWXB093BK_flat_front_web-597708__58611.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16704/BWXB093BK_flat_back_web-126521__51707.1596329134.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16720/BWXB093BK_displal_side_web-367427__88565.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16739/BWXB093BK_display_front_web-848061__95654.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16758/BWXB093BK_display_side2_web-954671__87160.1596329135.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-e3nbsd643i/products/7393/images/16772/BWXB093BK_display_back_web-925210__72402.1596329136.1280.1280.jpg?c=1","","12.00 USD","12.00USD","BeWicked","Black","D/XL","","","0.25 lb","3.3700 in","5.2500 in","7 in","available","142","688977498312","BWXB093BK D","Bra Accessories"
